instance_id,coverage_group,family,n,n_edges,density_actual,seed,C_star,M_opt,state_count,rho_opt,evidence_label
n8_d25_s17,random_seed_expansion,random_fixed_density,8,7,0.25,17,40,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d25_s42,random_seed_expansion,random_fixed_density,8,7,0.25,42,31,8,256,0.03125,exact enumeration coverage tier; not QAOA population inference
n8_d25_s73,random_seed_expansion,random_fixed_density,8,7,0.25,73,38,4,256,0.015625,exact enumeration coverage tier; not QAOA population inference
n8_d25_s101,random_seed_expansion,random_fixed_density,8,7,0.25,101,36,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d25_s211,random_seed_expansion,random_fixed_density,8,7,0.25,211,44,4,256,0.015625,exact enumeration coverage tier; not QAOA population inference
n8_d50_s17,random_seed_expansion,random_fixed_density,8,14,0.5,17,57,4,256,0.015625,exact enumeration coverage tier; not QAOA population inference
n8_d50_s42,random_seed_expansion,random_fixed_density,8,14,0.5,42,60,4,256,0.015625,exact enumeration coverage tier; not QAOA population inference
n8_d50_s73,random_seed_expansion,random_fixed_density,8,14,0.5,73,60,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d50_s101,random_seed_expansion,random_fixed_density,8,14,0.5,101,67,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d50_s211,random_seed_expansion,random_fixed_density,8,14,0.5,211,62,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d75_s17,random_seed_expansion,random_fixed_density,8,21,0.75,17,90,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d75_s42,random_seed_expansion,random_fixed_density,8,21,0.75,42,92,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d75_s73,random_seed_expansion,random_fixed_density,8,21,0.75,73,72,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n8_d75_s101,random_seed_expansion,random_fixed_density,8,21,0.75,101,84,4,256,0.015625,exact enumeration coverage tier; not QAOA population inference
n8_d75_s211,random_seed_expansion,random_fixed_density,8,21,0.75,211,75,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
n10_d25_s17,random_seed_expansion,random_fixed_density,10,11,0.25,17,59,4,1024,0.00390625,exact enumeration coverage tier; not QAOA population inference
n10_d25_s42,random_seed_expansion,random_fixed_density,10,11,0.25,42,50,8,1024,0.0078125,exact enumeration coverage tier; not QAOA population inference
n10_d25_s73,random_seed_expansion,random_fixed_density,10,11,0.25,73,54,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d25_s101,random_seed_expansion,random_fixed_density,10,11,0.25,101,47,8,1024,0.0078125,exact enumeration coverage tier; not QAOA population inference
n10_d25_s211,random_seed_expansion,random_fixed_density,10,11,0.25,211,38,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d50_s17,random_seed_expansion,random_fixed_density,10,22,0.5,17,70,4,1024,0.00390625,exact enumeration coverage tier; not QAOA population inference
n10_d50_s42,random_seed_expansion,random_fixed_density,10,22,0.5,42,92,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d50_s73,random_seed_expansion,random_fixed_density,10,22,0.5,73,94,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d50_s101,random_seed_expansion,random_fixed_density,10,22,0.5,101,78,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d50_s211,random_seed_expansion,random_fixed_density,10,22,0.5,211,95,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d75_s17,random_seed_expansion,random_fixed_density,10,34,0.75,17,115,4,1024,0.00390625,exact enumeration coverage tier; not QAOA population inference
n10_d75_s42,random_seed_expansion,random_fixed_density,10,34,0.75,42,134,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d75_s73,random_seed_expansion,random_fixed_density,10,34,0.75,73,121,4,1024,0.00390625,exact enumeration coverage tier; not QAOA population inference
n10_d75_s101,random_seed_expansion,random_fixed_density,10,34,0.75,101,103,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n10_d75_s211,random_seed_expansion,random_fixed_density,10,34,0.75,211,105,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
n12_d25_s17,random_seed_expansion,random_fixed_density,12,16,0.25,17,81,4,4096,0.0009765625,exact enumeration coverage tier; not QAOA population inference
n12_d25_s42,random_seed_expansion,random_fixed_density,12,16,0.25,42,62,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d25_s73,random_seed_expansion,random_fixed_density,12,16,0.25,73,60,4,4096,0.0009765625,exact enumeration coverage tier; not QAOA population inference
n12_d25_s101,random_seed_expansion,random_fixed_density,12,16,0.25,101,76,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d25_s211,random_seed_expansion,random_fixed_density,12,16,0.25,211,72,4,4096,0.0009765625,exact enumeration coverage tier; not QAOA population inference
n12_d50_s17,random_seed_expansion,random_fixed_density,12,33,0.5,17,119,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d50_s42,random_seed_expansion,random_fixed_density,12,33,0.5,42,128,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d50_s73,random_seed_expansion,random_fixed_density,12,33,0.5,73,152,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d50_s101,random_seed_expansion,random_fixed_density,12,33,0.5,101,133,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d50_s211,random_seed_expansion,random_fixed_density,12,33,0.5,211,129,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d75_s17,random_seed_expansion,random_fixed_density,12,50,0.75,17,164,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d75_s42,random_seed_expansion,random_fixed_density,12,50,0.75,42,175,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d75_s73,random_seed_expansion,random_fixed_density,12,50,0.75,73,186,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d75_s101,random_seed_expansion,random_fixed_density,12,50,0.75,101,170,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
n12_d75_s211,random_seed_expansion,random_fixed_density,12,50,0.75,211,177,4,4096,0.0009765625,exact enumeration coverage tier; not QAOA population inference
cycle_n8_s17,structured_family,cycle,8,8,0.2857142857142857,17,40,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
cycle_n8_s42,structured_family,cycle,8,8,0.2857142857142857,42,38,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
cubic_circulant_n8_s17,structured_family,cubic_circulant,8,12,0.42857142857142855,17,47,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
cubic_circulant_n8_s42,structured_family,cubic_circulant,8,12,0.42857142857142855,42,53,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
two_community_n8_s17,structured_family,two_community,8,14,0.5,17,52,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
two_community_n8_s42,structured_family,two_community,8,14,0.5,42,59,2,256,0.0078125,exact enumeration coverage tier; not QAOA population inference
cycle_n10_s17,structured_family,cycle,10,10,0.2222222222222222,17,43,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
cycle_n10_s42,structured_family,cycle,10,10,0.2222222222222222,42,41,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
cubic_circulant_n10_s17,structured_family,cubic_circulant,10,15,0.3333333333333333,17,71,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
cubic_circulant_n10_s42,structured_family,cubic_circulant,10,15,0.3333333333333333,42,76,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
two_community_n10_s17,structured_family,two_community,10,22,0.4888888888888889,17,71,2,1024,0.001953125,exact enumeration coverage tier; not QAOA population inference
two_community_n10_s42,structured_family,two_community,10,22,0.4888888888888889,42,83,12,1024,0.01171875,exact enumeration coverage tier; not QAOA population inference
cycle_n12_s17,structured_family,cycle,12,12,0.18181818181818182,17,52,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
cycle_n12_s42,structured_family,cycle,12,12,0.18181818181818182,42,55,2,4096,0.00048828125,exact enumeration coverage tier; not QAOA population inference
