instance_id,p,optimizer_seed,expectation_p_target,threshold_p_target,expectation_approx_ratio,threshold_approx_ratio,expectation_p_opt,threshold_p_opt,expectation_evals,threshold_evals,initialization_identical,delta_p_target,delta_approx_ratio
n10_d25_s17,1,0,0.19246716926614282,0.19639695839398047,0.5712805533308688,0.5696799676057983,0.016285119688281852,0.015889292458609785,45,33,True,0.003929789127837646,-0.0016005857250704913
n10_d25_s17,1,1,0.48336165749630156,0.48464012479910756,0.7123615536214829,0.7118682253999283,0.07657574086681052,0.07940437986076591,45,42,True,0.0012784673028060078,-0.0004933282215545676
n10_d25_s17,1,2,0.08593750000001732,0.4846401247991083,0.5000000000000165,0.7118682245342743,0.003906250000001284,0.07940438098726106,15,39,True,0.39870262479909097,0.2118682245342578
n10_d25_s17,1,3,0.08593750000000001,0.1931875128362314,0.5000000000000001,0.5620550470431122,0.003906250000000002,0.02367307965168764,27,39,True,0.10725001283623138,0.062055047043112044
n10_d25_s17,1,4,0.08593750000000001,0.19162127948476648,0.5000000000000001,0.5254495804342384,0.003906250000000002,0.0016302001149918835,24,45,True,0.10568377948476647,0.025449580434238284
n10_d25_s17,2,0,0.35780891757459904,0.359710939203278,0.6360068719673515,0.6353278072858743,0.020408736116536236,0.020009869547257423,105,95,True,0.0019020216286789737,-0.0006790646814771595
n10_d25_s17,2,1,0.08593750000000001,0.32614117875378,0.5000000000000001,0.6178378612649634,0.003906250000000002,0.011701812601784213,25,128,True,0.24020367875378001,0.11783786126496332
n10_d25_s17,2,2,0.2415127379833017,0.21778748736046036,0.6062285353014141,0.5535852435764742,0.04370597368056425,0.003637522451773533,115,128,True,-0.023725250622841337,-0.05264329172493987
n10_d25_s17,2,3,0.17486883543478482,0.22072518168316868,0.6103451340121129,0.6040291255204412,0.018710894046627798,0.04583389878279888,128,128,True,0.04585634624838386,-0.006316008491671687
n10_d25_s17,2,4,0.1911571180712121,0.2046961658624213,0.525552826745525,0.5799661342058049,0.001863082403336275,0.0075682065955898345,65,100,True,0.01353904779120918,0.05441330746027995
n10_d25_s17,3,0,0.43576454903403605,0.27014092833308,0.6421493493785321,0.60940902821053,0.013010599189090078,0.020859018525344695,128,128,True,-0.16562362070095604,-0.03274032116800207
n10_d25_s17,3,1,0.2320134677888628,0.19438427506324701,0.6044657703091266,0.528426516934992,0.03130972987548346,0.0009886881707254311,128,128,True,-0.037629192725615795,-0.07603925337413464
n10_d25_s17,3,2,0.3824257796187768,0.43080029784267104,0.6446586636987733,0.6360788832733711,0.018263985760389057,0.00788128597224368,128,128,True,0.04837451822389427,-0.008579780425402195
n10_d25_s17,3,3,0.08593750000106301,0.32277178167695825,0.5000000000010368,0.6113091399285829,0.003906250000078597,0.017470773542290124,49,128,True,0.23683428167589524,0.1113091399275461
n10_d25_s17,3,4,0.48837818927370613,0.4144077978693673,0.713598693501009,0.6682875430555353,0.08055216027769183,0.0802491889930356,128,128,True,-0.07397039140433881,-0.045311150445473736
n10_d25_s42,1,0,0.4252661767716043,0.4262550774170377,0.7242677288609599,0.7237980627644788,0.04106744192725399,0.04162968150872799,42,39,True,0.0009889006454334437,-0.0004696660964811361
n10_d25_s42,1,1,0.21828866145847498,0.22404522946104072,0.6183676693841444,0.615808075518071,0.021226583121468027,0.021112182522454788,45,42,True,0.005756568002565743,-0.0025595938660734063
n10_d25_s42,1,2,0.12500000000000003,0.22404522946104094,0.5500000000000002,0.6158080753832631,0.007812500000000003,0.0211121824398171,27,36,True,0.09904522946104091,0.06580807538326294
n10_d25_s42,1,3,0.4252661776462656,0.42625507741703805,0.7242677288609599,0.7237980619773872,0.0410674416803658,0.041629681069267205,36,36,True,0.0009888997707724334,-0.0004696668835727502
n10_d25_s42,1,4,0.12500000000000003,0.23404344548037778,0.5500000000000002,0.6217519302615621,0.007812500000000003,0.020308091287203865,21,48,True,0.10904344548037775,0.0717519302615619
n10_d25_s42,2,0,0.3295371208805098,0.33855418448688945,0.6798152171024526,0.6738883877917448,0.046173049864218565,0.04801645647187387,125,125,True,0.00901706360637966,-0.005926829310707871
n10_d25_s42,2,1,0.12500000000001682,0.3861405687273644,0.5500000000000148,0.6910450858929553,0.007812500000001608,0.07765528315705242,35,90,True,0.2611405687273476,0.1410450858929405
n10_d25_s42,2,2,0.31216139632055173,0.3157217430599856,0.674475057086683,0.6722137176381893,0.030306813970930754,0.031200781758183225,105,95,True,0.003560346739433895,-0.0022613394484937155
n10_d25_s42,2,3,0.7488100812274909,0.7684516888451527,0.8375908671018596,0.8410184115503307,0.13913299812906874,0.13244245400797994,128,128,True,0.01964160761766176,0.0034275444484711537
n10_d25_s42,2,4,0.12500000000001155,0.7624663661949747,0.5500000000000101,0.8393359092919885,0.0078125000000011,0.13714161203673314,20,128,True,0.6374663661949631,0.2893359092919784
n10_d25_s42,3,0,0.40383408800575693,0.27863014212770393,0.7250781712320172,0.6503677911863178,0.0429934821715919,0.04004696226628366,128,128,True,-0.125203945878053,-0.07471038004569941
n10_d25_s42,3,1,0.5025950886841994,0.5090891659284142,0.7499614989773441,0.7306860282776914,0.07489018475426996,0.05328428926292317,128,128,True,0.006494077244214802,-0.01927547069965274
n10_d25_s42,3,2,0.12499999999999772,0.4215509645783013,0.549999999999999,0.719437515392562,0.007812500000000208,0.09587178429341207,42,128,True,0.2965509645783036,0.1694375153925629
n10_d25_s42,3,3,0.1250000000000671,0.7519518174838347,0.5500000000000621,0.8372375574850617,0.007812500000006375,0.1389014532463273,35,128,True,0.6269518174837676,0.2872375574849996
n10_d25_s42,3,4,0.33936134664534745,0.3923492694775178,0.6825360511460268,0.7057399520020027,0.03670111543895207,0.042816804523770485,128,128,True,0.05298792283217035,0.0232039008559759
n10_d50_s17,1,0,0.04043476302454833,0.04483400357359134,0.6594015701400656,0.6568008609137452,0.003118390186459633,0.0050165029648480035,42,36,True,0.004399240549043011,-0.0026007092263203857
n10_d50_s17,1,1,0.027343750000003653,0.035969181305615563,0.6357142857142967,0.6539217613423691,0.003906250000000619,0.004469529052851313,12,57,True,0.00862543130561191,0.018207475628072456
n10_d50_s17,1,2,0.04776433646587659,0.0518593119914777,0.6848773178782266,0.6839161401677125,0.004601771633149002,0.00545297552197405,51,33,True,0.004094975525601105,-0.0009611777105140717
