instance_id,p,paired_starts,expectation_p_target_median,threshold_p_target_median,delta_p_target_median,expectation_approx_ratio_median,threshold_approx_ratio_median,delta_approx_ratio_median
n10_d25_s17,1,5,0.08593750000001732,0.19639695839398047,0.10568377948476647,0.5000000000000165,0.5696799676057983,0.025449580434238284
n10_d25_s17,2,5,0.1911571180712121,0.22072518168316868,0.01353904779120918,0.6062285353014141,0.6040291255204412,-0.0006790646814771595
n10_d25_s17,3,5,0.3824257796187768,0.32277178167695825,-0.037629192725615795,0.6421493493785321,0.6113091399285829,-0.03274032116800207
n10_d25_s42,1,5,0.21828866145847498,0.23404344548037778,0.005756568002565743,0.6183676693841444,0.6217519302615621,-0.0004696660964811361
n10_d25_s42,2,5,0.31216139632055173,0.3861405687273644,0.01964160761766176,0.674475057086683,0.6910450858929553,0.0034275444484711537
n10_d25_s42,3,5,0.33936134664534745,0.4215509645783013,0.05298792283217035,0.6825360511460268,0.719437515392562,0.0232039008559759
n10_d50_s17,1,5,0.04043476302454833,0.04483400357359134,0.004399240549043011,0.6594015701400656,0.6568008609137452,-0.0026007092263203857
n10_d50_s17,2,5,0.08440388231832664,0.0782030584188994,0.038290514967406875,0.7576750258873345,0.6796334800122955,-0.024871347910529695
n10_d50_s17,3,5,0.06507493152879737,0.06982557434076624,0.0047506428119688665,0.70240147624741,0.6704937930945379,-0.03190768315287207
n10_d50_s42,1,5,0.06889533935655828,0.08498656193383514,0.016091222577276854,0.6135543044950118,0.6135520030926301,-0.0008213832155786749
n10_d50_s42,2,5,0.0865340659782401,0.08500304486934201,0.0028256212544585657,0.6290064645419559,0.5888124556662457,-0.03491186254377732
n10_d50_s42,3,5,0.10665960358708569,0.1466417509422075,0.0399821473551218,0.6279995925704682,0.652934375808001,0.01328720312187237
n10_d75_s17,1,5,0.005859375000000002,0.01082838934634427,0.0024905188642439834,0.7108751288837599,0.704237481538348,-0.0016544662260120635
n10_d75_s17,2,5,0.0058593749999999506,0.026820184780723212,0.023156122938172374,0.7277812300947328,0.714496172524855,-0.013285057569877856
n10_d75_s17,3,5,0.0058593750000001926,0.016976904973825563,0.01111752997382537,0.722519462424399,0.7081535298202816,-0.014869089539755964
n10_d75_s42,1,5,0.06765675331028768,0.07449616029243261,0.001975112595570455,0.6954457379557663,0.682452047847575,-0.012993690108191291
n10_d75_s42,2,5,0.07299392667127028,0.0866110925167818,0.015174873260347374,0.6986208049799636,0.6855347737617039,-0.01700131855443554
n10_d75_s42,3,5,0.058593750000014724,0.08949739230833442,0.027536463188291303,0.6791044776119607,0.6897882968855338,0.006399382008403509
n12_d25_s17,1,5,0.07982441907273145,0.13794064806646134,0.006619369602275715,0.5710583253784283,0.5909233882078275,-0.0001367260558449157
