instance_id,n,operational_level,threshold,feasible_exact_validation,realized_quality_ratio_exact_validation,method,configuration,p_target,expected_independent_repetitions,resource_metric_scope
n8_d25_s17,8,0.25,25,True,0.625,uniform,uniform sample,0.28125,3.5555555555555554,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.25,25,True,0.625,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.25,25,True,0.625,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s17,8,0.25,25,True,0.625,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s17,8,0.25,25,True,0.625,amplitude_amplification,k=1; exact-rho validation; eps=0; oracle_cost=1,0.9887695312500001,1.0113580246913578,oracle-informed validation reference; normalized_resource_per_hit=3.03407407407
n8_d25_s17,8,0.25,25,True,0.625,qaoa,p=1; median over 5 L-BFGS-B starts,0.28125,3.5555555555555554,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.25,25,True,0.625,qaoa,p=2; median over 5 L-BFGS-B starts,0.6650567996684321,1.5036309688113192,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.25,25,True,0.625,qaoa,p=3; median over 5 L-BFGS-B starts,0.8831975202122553,1.13224955586342,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.4,28,True,0.7,uniform,uniform sample,0.1875,5.333333333333333,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.4,28,True,0.7,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.4,28,True,0.7,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s17,8,0.4,28,True,0.7,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s17,8,0.4,28,True,0.7,amplitude_amplification,k=1; exact-rho validation; eps=0; oracle_cost=1,0.94921875,1.0534979423868314,oracle-informed validation reference; normalized_resource_per_hit=3.16049382716
n8_d25_s17,8,0.4,28,True,0.7,qaoa,p=1; median over 5 L-BFGS-B starts,0.1875,5.333333333333333,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.4,28,True,0.7,qaoa,p=2; median over 5 L-BFGS-B starts,0.5837304437005923,1.7131194899831559,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.4,28,True,0.7,qaoa,p=3; median over 5 L-BFGS-B starts,0.8715385879236337,1.147396126638999,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.55,31,True,0.775,uniform,uniform sample,0.1328125,7.529411764705882,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.55,31,True,0.775,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.55,31,True,0.775,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s17,8,0.55,31,True,0.775,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s17,8,0.55,31,True,0.775,amplitude_amplification,k=1; exact-rho validation; eps=0; oracle_cost=1,0.8094558715820314,1.2353977963561644,oracle-informed validation reference; normalized_resource_per_hit=3.70619338907
n8_d25_s17,8,0.55,31,True,0.775,qaoa,p=1; median over 5 L-BFGS-B starts,0.1328125,7.529411764705882,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.55,31,True,0.775,qaoa,p=2; median over 5 L-BFGS-B starts,0.44709572125596225,2.236657504104138,common probability only; threshold construction independent of C*
n8_d25_s17,8,0.55,31,True,0.775,qaoa,p=3; median over 5 L-BFGS-B starts,0.6877347787403938,1.4540489021531366,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.25,24,True,0.7741935483870968,uniform,uniform sample,0.28125,3.5555555555555554,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.25,24,True,0.7741935483870968,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.25,24,True,0.7741935483870968,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s42,8,0.25,24,True,0.7741935483870968,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s42,8,0.25,24,True,0.7741935483870968,amplitude_amplification,k=1; exact-rho validation; eps=0; oracle_cost=1,0.9887695312500001,1.0113580246913578,oracle-informed validation reference; normalized_resource_per_hit=3.03407407407
n8_d25_s42,8,0.25,24,True,0.7741935483870968,qaoa,p=1; median over 5 L-BFGS-B starts,0.28125,3.5555555555555554,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.25,24,True,0.7741935483870968,qaoa,p=2; median over 5 L-BFGS-B starts,0.5852334642575171,1.7087197863312469,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.25,24,True,0.7741935483870968,qaoa,p=3; median over 5 L-BFGS-B starts,0.8422180816242073,1.1873409296455761,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.4,27,True,0.8709677419354839,uniform,uniform sample,0.21875,4.571428571428571,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.4,27,True,0.8709677419354839,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.4,27,True,0.8709677419354839,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s42,8,0.4,27,True,0.8709677419354839,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s42,8,0.4,27,True,0.8709677419354839,amplitude_amplification,k=1; exact-rho validation; eps=0; oracle_cost=1,0.9877929687500001,1.0123578843302026,oracle-informed validation reference; normalized_resource_per_hit=3.03707365299
n8_d25_s42,8,0.4,27,True,0.8709677419354839,qaoa,p=1; median over 5 L-BFGS-B starts,0.21875,4.571428571428571,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.4,27,True,0.8709677419354839,qaoa,p=2; median over 5 L-BFGS-B starts,0.5414874737536555,1.8467647886069851,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.4,27,True,0.8709677419354839,qaoa,p=3; median over 5 L-BFGS-B starts,0.6989720790846536,1.430672311417018,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.55,30,True,0.967741935483871,uniform,uniform sample,0.0625,16.0,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.55,30,True,0.967741935483871,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.55,30,True,0.967741935483871,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s42,8,0.55,30,True,0.967741935483871,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
n8_d25_s42,8,0.55,30,True,0.967741935483871,amplitude_amplification,k=2; exact-rho validation; eps=0; oracle_cost=1,0.908447265625,1.1007793603869926,oracle-informed validation reference; normalized_resource_per_hit=5.50389680193
n8_d25_s42,8,0.55,30,True,0.967741935483871,qaoa,p=1; median over 5 L-BFGS-B starts,0.0625,16.0,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.55,30,True,0.967741935483871,qaoa,p=2; median over 5 L-BFGS-B starts,0.08440340466255625,11.847863294116955,common probability only; threshold construction independent of C*
n8_d25_s42,8,0.55,30,True,0.967741935483871,qaoa,p=3; median over 5 L-BFGS-B starts,0.442476362018004,2.260007733383305,common probability only; threshold construction independent of C*
n8_d50_s17,8,0.25,48,True,0.8421052631578947,uniform,uniform sample,0.1953125,5.12,common probability only; threshold construction independent of C*
n8_d50_s17,8,0.25,48,True,0.8421052631578947,hillclimb,256 starts,1.0,1.0,common probability only; threshold construction independent of C*
n8_d50_s17,8,0.25,48,True,0.8421052631578947,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; threshold construction independent of C*; not matched to quantum resources
