instance_id,starts,best_ratio,median_ratio,q1_ratio,q3_ratio,optimum_hit_fraction,target_q090_hit_fraction,target_q095_hit_fraction,target_q100_hit_fraction,oper_l025_hit_fraction,oper_l040_hit_fraction,oper_l055_hit_fraction,coverage_group,family,n,seed,evidence_label
n8_d25_s17,64,1.0,0.975,0.975,1.0,0.453125,1.0,1.0,0.453125,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d25_s42,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,8,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d25_s73,64,1.0,1.0,1.0,1.0,0.921875,0.921875,0.921875,0.921875,1.0,1.0,0.921875,random_seed_expansion,random_fixed_density,8,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d25_s101,64,1.0,1.0,0.9444444444444444,1.0,0.609375,1.0,0.609375,0.609375,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,8,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d25_s211,64,1.0,1.0,1.0,1.0,0.890625,0.890625,0.890625,0.890625,1.0,0.96875,0.96875,random_seed_expansion,random_fixed_density,8,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d50_s17,64,1.0,1.0,0.9473684210526315,1.0,0.5625,1.0,0.71875,0.5625,1.0,0.890625,0.0,random_seed_expansion,random_fixed_density,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d50_s42,64,1.0,0.9333333333333333,0.9,1.0,0.453125,0.96875,0.453125,0.453125,1.0,0.96875,0.453125,random_seed_expansion,random_fixed_density,8,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d50_s73,64,1.0,1.0,0.9833333333333333,1.0,0.5625,0.796875,0.796875,0.5625,1.0,0.890625,0.796875,random_seed_expansion,random_fixed_density,8,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d50_s101,64,1.0,1.0,0.8656716417910447,1.0,0.546875,0.546875,0.546875,0.546875,1.0,0.546875,0.546875,random_seed_expansion,random_fixed_density,8,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d50_s211,64,1.0,0.9354838709677419,0.8870967741935484,1.0,0.453125,0.59375,0.453125,0.453125,1.0,1.0,0.59375,random_seed_expansion,random_fixed_density,8,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d75_s17,64,1.0,1.0,0.8777777777777778,1.0,0.609375,0.609375,0.609375,0.609375,1.0,1.0,0.609375,random_seed_expansion,random_fixed_density,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
