instance_id,n,density_target,graph_seed,p,optimizer_seed,operational_level,threshold,rho_uniform,objective,optimizer,objective_eval_budget,objective_evaluations_used,success,termination,nit,p_target_exact,expected_cut,approx_ratio,p_opt_exact,initial_params,best_seen_params,message,evidence_label
n10_d25_s17,10,0.25,17,1,0,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,33,True,optimizer_converged,9,0.19639695839398047,33.6111180887421,0.5696799676057983,0.015889292458609785,"[3.5287294141677674, 2.820136066220062]","[3.5189021976497004, 2.719269245747007]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,1,1,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,42,True,optimizer_converged,9,0.48464012479910756,42.00022529859577,0.7118682253999283,0.07940437986076591,"[0.03150364209054807, 2.2509822567250026]","[0.11752992406750268, 1.9750078582653663]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,1,2,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,39,True,optimizer_converged,8,0.4846401247991083,42.00022524752219,0.7118682245342743,0.07940438098726106,"[0.550699323661081, 2.553727599613405]","[0.11752993389377804, 1.975007846283163]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,1,3,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,39,True,optimizer_converged,10,0.1931875128362314,33.161247775543615,0.5620550470431122,0.02367307965168764,"[3.5525641580261405, 1.896169765139098]","[3.7588642808279418, 2.020855691678762]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,1,4,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,45,True,optimizer_converged,10,0.19162127948476648,31.001525245620066,0.5254495804342384,0.0016302001149918835,"[3.9759708282718824, 0.8316968429718057]","[4.077086450545967, 1.1561349676202417]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,2,0,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,95,True,optimizer_converged,15,0.359710939203278,37.48434062986659,0.6353278072858743,0.020009869547257423,"[0.31951146532931884, 0.9839688804685589, 2.762624903002235, 1.258469936220435]","[0.40391152407681435, 0.8616340368791314, 2.6050761283304524, 1.2217661028672107]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,2,1,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,128,False,evaluation_budget_exhausted,-1,0.32614117875378,36.45243381463284,0.6178378612649634,0.011701812601784213,"[5.1251953421090155, 6.066028820494585, 0.12305624851531094, 1.2664872559039198]","[3.7259592275356326, 5.582368366830211, 0.2995593693964347, 1.2379843169718074]",strict objective-evaluation cap 128 reached,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,2,2,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,128,False,evaluation_budget_exhausted,-1,0.21778748736046036,32.66152937101198,0.5535852435764742,0.003637522451773533,"[4.7123564519019165, 3.37401075349724, 2.488152537839502, 0.24380614055485098]","[4.836754030914003, 3.6226610963472456, 2.9058638976919045, 2.1026036393063463]",strict objective-evaluation cap 128 reached,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,2,3,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,128,False,evaluation_budget_exhausted,-1,0.22072518168316868,35.63771840570603,0.6040291255204412,0.04583389878279888,"[1.783390817751575, 3.5345099979788017, 3.042274649460688, 1.3393818759681368]","[1.6598264259943833, 3.5299702396928794, 3.0384211550695976, 1.1588663802271473]",strict objective-evaluation cap 128 reached,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
n10_d25_s17,10,0.25,17,2,4,0.4,42,0.0859375,threshold_hit_probability,L-BFGS-B,128,100,True,optimizer_converged,16,0.2046961658624213,34.21800191814249,0.5799661342058049,0.0075682065955898345,"[3.1418255584163366, 1.4465724856988362, 0.9516284618173032, 0.3316626526323334]","[1.7736577316883622, 1.873694985811607, 0.8163295088988263, 0.4368716558180762]",CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,paired threshold-hit-trained ideal-statevector QAOA under 128-evaluation cap
