instance_id,p,optimizer,runs,approx_ratio_median,approx_ratio_q1,approx_ratio_q3,p_opt_exact_median,objective_evaluations_median,budget_exhausted_fraction
n10_d25_s17,1,COBYLA,5,0.5646085941470791,0.5157160296531924,0.603061972628636,0.018354329313169937,108.0,0.4
n10_d25_s17,1,L-BFGS-B,5,0.5810265775264749,0.5119530740699589,0.596730884033627,0.006768022626411834,39.0,0.0
n10_d25_s17,2,COBYLA,5,0.5869687920472489,0.5852504712700239,0.6095699351857209,0.01877738007495901,128.0,1.0
n10_d25_s17,2,L-BFGS-B,5,0.5882200965839969,0.5000000000000068,0.6755898709992617,0.007161486097256973,90.0,0.2
n10_d25_s17,3,COBYLA,5,0.6389994925937267,0.6319054269218715,0.7147118507852013,0.03722630542138984,128.0,0.8
n10_d25_s17,3,L-BFGS-B,5,0.5751097010191099,0.5000000000001196,0.6654036944206128,0.014996639996421254,128.0,0.6
n10_d25_s42,1,COBYLA,5,0.6495718472884966,0.6251170044511445,0.6495718472919834,0.020151040252934467,63.0,0.0
n10_d25_s42,1,L-BFGS-B,5,0.5500000000000003,0.5500000000000003,0.6251170044511718,0.007812500000000007,36.0,0.0
n10_d25_s42,2,COBYLA,5,0.7477024040896302,0.7203421495163775,0.7515292070353148,0.040367604055463475,128.0,1.0
n10_d25_s42,2,L-BFGS-B,5,0.7282097416339102,0.5810153519732443,0.7480719253331829,0.040825400236696216,105.0,0.2
n10_d25_s42,3,COBYLA,5,0.7398829408601527,0.7298858728039954,0.7423752568019273,0.04752599868240534,128.0,1.0
n10_d25_s42,3,L-BFGS-B,5,0.7078022006698211,0.5500000000000108,0.7295276398751231,0.03755890229927564,128.0,0.6
n10_d50_s17,1,COBYLA,5,0.6758594491783079,0.6758594491054316,0.7097086408062901,0.0070568632917440526,80.0,0.2
n10_d50_s17,1,L-BFGS-B,5,0.6848773178782283,0.6586864937640289,0.6848773178782291,0.004601772510857109,45.0,0.0
n10_d50_s17,2,COBYLA,5,0.6884436190613554,0.685852133119456,0.6888417270955667,0.004303144112956893,128.0,1.0
n10_d50_s17,2,L-BFGS-B,5,0.6951758741923106,0.6357142857143866,0.7561065359956016,0.008069365812076946,95.0,0.4
