instance_id,coverage_group,family,n,seed,i,j,w
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,4,6,7
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,1,7,1
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,4,7,7
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,4,5,7
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,3,4,7
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,1,2,9
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0,2,2
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,2,3,8
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,1,5,5
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0,5,4
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,3,6,7
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0,1,6
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,3,4,5
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,4,6,3
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,2,3,5
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0,4,6
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,5,7,1
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,4,6,6
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,3,6,8
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,2,4,8
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0,1,4
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,3,5,2
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,2,5,9
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,1,7,2
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0,3,6
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,2,4,9
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,3,6,2
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,5,7,6
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,6,7,2
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,0,6,7
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,1,7,3
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,3,5,7
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,2,6,7
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,0,3,9
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,1,5,9
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0,6,6
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,4,5,8
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,1,2,9
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0,7,6
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,2,4,9
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,3,7,5
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,3,4,2
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,1,4,6
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,1,6,6
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,2,3,8
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,6,7,1
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0,3,2
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0,1,5
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,1,3,3
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0,7,9
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,6,7,4
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,1,5,2
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0,1,3
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0,2,5
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,1,3,9
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,5,6,9
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0,3,3
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,2,6,6
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,2,7,9
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,3,6,7
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0,6,5
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,1,6,5
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,5,7,1
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,3,4,6
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0,7,7
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,5,7,5
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,4,7,3
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,1,6,8
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,3,6,5
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,2,5,5
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0,2,4
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,2,3,8
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,3,7,3
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,2,6,5
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,1,4,1
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0,4,8
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0,5,6
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,4,6,9
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,1,5,7
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0,5,7
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,2,6,4
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,2,3,1
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0,6,9
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0,7,9
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0,4,7
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,5,6,9
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,2,4,6
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,6,7,8
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,4,7,1
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,3,4,5
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,5,7,3
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,3,5,8
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0,4,3
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,5,6,2
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0,1,3
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,1,2,9
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,1,4,5
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,4,6,7
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0,3,2
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,2,4,3
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0,6,7
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,6,7,8
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,4,5,8
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,2,3,3
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,4,7,6
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,2,6,2
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,5,6
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,1,2,9
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,4,5,7
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,7,6
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,2,2
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,6,7,8
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,3,4,1
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,3,7
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,5,7,1
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,2,4,4
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,4,2
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,1,9
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,1,5,7
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,2,7,8
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,1,7,8
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,2,5,9
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,4,7,3
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0,6,8
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,3,7,3
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,3,5,9
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,2,5,3
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,5,6,3
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,4,7,8
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,1,2,2
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,2,6,8
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0,2,9
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0,5,8
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,3,6,7
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,1,4,2
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,2,3,5
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0,6,5
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,1,3,9
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,2,7,3
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0,3,2
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0,4,7
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,3,5,9
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,4,6,4
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,3,4,9
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0,1,6
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,1,5,7
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,6,7,7
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0,5,6
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,1,6,3
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,2,7,6
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0,7,4
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0,4,4
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,2,4,2
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,6,7,2
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,4,6,8
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0,6,5
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,4,7,3
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,3,6,9
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,4,5,9
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,3,7,1
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,1,7,8
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,5,7,1
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,1,4,2
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,2,3,7
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0,3,3
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,1,3,3
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,2,5,4
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,1,2,7
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,4,7,3
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,4,5,8
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,4,6,7
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,1,5,7
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0,7,9
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0,1,5
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,2,7,7
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,3,4,9
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0,3,9
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,1,2,4
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0,2,7
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,5,7,9
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0,6,1
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,2,3,5
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,3,5,8
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,2,4,3
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,2,5,4
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0,5,4
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,5,6,1
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,1,3,3
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,3,7,6
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0,1,7
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,3,7,4
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,3,4,3
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,1,4,8
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,1,3,5
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,5,6,8
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,5,7,7
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0,7,4
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0,3,5
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,1,5,3
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0,2,5
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,2,7,1
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,2,3,1
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,4,6,4
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0,5,4
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,1,7,9
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,2,6,6
